morton_code,lat,lon,abs_per_traversal,abs_per_traversal_shrunk,abs_events,n_rides,abs_per_1k_points,stop_rate,flow_index,crowd_v_p50,crowd_v_p85,demand_p90,radius_p50,grade_mean,elev_mean,n_points
122010200010132123,47.85005,11.49953,0.2,0.1013,4,20,4.63499,0.5,0.15,6.94444,11.3889,10.8901,53.91506,0.51092,643.5901,863
122010200002201320,47.95331,11.26716,0.2,0.0684,2,10,24.09639,0.0,0.9,20.27779,22.20007,8.2331,347.20551,-0.60242,668.91003,83
122001133310020003,47.48532,11.0762,0.2,0.0684,2,10,18.69159,0.0,0.8,11.41258,14.64722,1.97172,,0.73149,708.3154,107
122010200013113232,47.92158,11.59388,0.2,0.0684,2,10,12.42236,0.2,0.3,11.11111,15.0,11.107,122.42041,-0.91369,730.18,161
122010200102320303,47.97418,11.6536,0.2,0.0684,2,10,18.18182,0.2,0.7,9.96276,11.91667,3.84314,150.78469,-0.02795,627.20667,110
122010200013301110,47.94507,11.57775,0.2,0.0684,2,10,6.80272,0.3,0.7,10.55556,15.83334,13.46284,56.69901,-1.07774,717.14856,294
122010200012320132,47.97093,11.47836,0.2,0.04208,1,5,21.2766,0.0,0.8,13.61111,17.71673,11.33368,179.92863,-2.85737,597.0371,47
122010022323132322,47.7677,11.76141,0.2,0.04208,1,5,17.24138,0.0,1.0,11.90043,15.125,14.82379,92.7859,1.42971,724.19885,58
122010200011101213,47.82012,11.57333,0.2,0.04208,1,5,20.83333,0.0,1.0,11.66668,14.43057,6.19013,,-0.65941,663.32697,48
122010200011201110,47.85754,11.5331,0.2,0.04208,1,5,71.42857,0.0,1.0,19.86111,23.68056,2.23215,,-1.09796,736.455,14
122010022022222112,47.4524,11.25905,0.2,0.04208,1,5,21.73913,0.0,1.0,11.25001,15.1389,9.23476,144.76836,-5.42677,990.9157,46
122010022022222121,47.45316,11.25809,0.2,0.04208,1,5,25.64103,0.0,0.6,6.66667,8.97223,31.31137,18.23628,3.71774,1000.272,39
122001311113101313,47.90792,11.22732,0.2,0.04208,1,5,22.72727,0.0,0.8,14.58334,16.66667,8.51424,189.675,-1.60924,743.0003,44
122010200101101223,47.8233,11.74608,0.2,0.04208,1,5,25.64103,0.0,0.8,7.77778,13.33333,7.26611,146.46045,-0.62735,859.9447,39
122010200101103001,47.82377,11.7467,0.2,0.04208,1,5,19.60784,0.0,1.0,10.83333,12.77778,4.75997,218.4299,3.7497,863.4962,51
122010200101113211,47.82907,11.7708,0.2,0.04208,1,5,27.77778,0.0,1.0,9.44444,10.27778,7.36418,102.36449,2.43734,811.376,36
122010200101113033,47.82889,11.7715,0.2,0.04208,1,5,31.25,0.0,1.0,10.27778,11.11111,3.04748,,-0.17993,811.53864,32
122010200101113122,47.82868,11.77254,0.2,0.04208,1,5,14.70588,0.0,0.6,10.41667,13.33333,4.39986,177.51126,-0.37811,813.7114,68
122010200103232212,47.98514,11.71532,0.2,0.04208,1,5,25.64103,0.0,1.0,12.77779,15.27779,7.86762,168.88997,0.27945,625.4824,39
122001311113000022,47.90524,11.16245,0.2,0.04208,1,5,14.49275,0.2,0.8,12.51919,16.30053,21.4165,66.91602,0.26362,553.21954,69
122010200000031011,47.83521,11.2879,0.2,0.04208,1,5,17.24138,0.0,1.0,15.00001,16.11112,10.9173,160.08702,0.16953,610.54663,58
122010200101100201,47.81854,11.7353,0.1875,0.08478,3,16,43.47826,0.0,1.0,10.55556,16.0,4.61813,198.20625,-0.00948,810.385,69
122010200111020222,47.84485,11.86612,0.18605,0.12781,8,43,14.49275,0.04651,0.86047,14.72222,19.16667,31.69163,89.17088,-1.84739,697.3949,552
122010200000011231,47.82128,11.28772,0.18182,0.06619,2,11,15.87302,0.0,0.90909,9.8844,14.16667,3.33737,189.55957,0.20071,612.89386,126
122010200011212221,47.87632,11.53763,0.18182,0.06619,2,11,19.23077,0.0,0.90909,17.08334,21.38891,15.57996,122.50955,1.7497,712.5465,104
122010200110000213,47.82049,11.78212,0.18182,0.06619,2,11,37.73585,0.0,0.90909,24.72222,27.77778,5.11958,,0.2513,742.582,53
122010200110000321,47.82126,11.78487,0.18182,0.06619,2,11,39.21569,0.0,0.90909,24.16667,28.05558,5.1464,,0.0142,739.07446,51
122010200110001223,47.82232,11.79038,0.18182,0.06619,2,11,39.21569,0.0,0.90909,24.72222,27.5,5.44588,180.96454,0.3537,731.94867,51
122010022233233333,47.81133,11.55712,0.18182,0.06619,2,11,26.66667,0.27273,0.54545,5.27778,15.55556,12.56875,14.60742,-4.84033,651.18335,75
122001133323301122,47.77389,11.04744,0.17647,0.08248,3,17,11.19403,0.0,0.23529,8.75001,13.33334,24.30587,16.50369,-0.50856,650.13727,268
122001133310231031,47.5303,11.11219,0.16667,0.10104,5,30,6.87758,0.3,0.56667,8.33334,12.22222,3.42481,133.56516,-0.30392,671.44586,727
122010200000223031,47.89276,11.26563,0.16667,0.06412,2,12,12.34568,0.08333,0.91667,16.11111,18.05556,9.97055,223.41968,0.16454,606.6261,162
122010200101111311,47.81924,11.77661,0.16667,0.06412,2,12,46.51163,0.0,0.91667,24.72222,28.11113,3.20089,,-0.19585,747.96326,43
122001311111303120,47.8709,11.22327,0.16667,0.06412,2,12,14.49275,0.0,0.91667,15.55557,19.16667,9.70034,175.95432,0.2244,649.3524,138
122010200101330213,47.8865,11.75991,0.16667,0.06412,2,12,50.0,0.0,0.83333,18.88889,29.65278,10.84822,252.57927,-2.60369,719.9727,40
122010200110000330,47.82164,11.78625,0.16667,0.06412,2,12,29.85075,0.0,0.91667,23.05557,26.66667,7.72253,132.98274,-0.34326,736.572,67
122010022223122003,47.75958,11.38388,0.16667,0.06412,2,12,17.85714,0.08333,0.91667,18.33335,19.86113,11.35164,244.84102,-0.15327,645.0611,112
122010200102100301,47.90604,11.65296,0.16667,0.06412,2,12,17.09402,0.08333,0.91667,26.66669,30.55556,8.71072,666.58929,0.35841,727.806,117
122010200110231103,47.87988,11.81851,0.16667,0.04046,1,6,142.85714,0.0,1.0,28.33336,31.72222,2.08424,,2.25765,602.67786,7
122010022322331011,47.79136,11.68378,0.16667,0.04046,1,6,19.60784,0.0,1.0,13.33333,15.83333,30.65728,65.73528,-1.89766,774.9042,51
122001311113232001,47.97793,11.18599,0.16667,0.04046,1,6,15.15152,0.0,0.66667,14.58334,20.29877,5.32963,490.23595,0.005,684.36646,66
122010200012320313,47.97386,11.48038,0.16667,0.04046,1,6,22.72727,0.0,1.0,22.33486,24.31945,9.49005,175.75689,-2.7036,609.6069,44
122010200110101223,47.82252,11.83425,0.16667,0.04046,1,6,21.73913,0.0,0.66667,14.44444,16.18056,1.92801,141.19113,0.09056,715.21094,46
122001311102300312,47.95158,10.95133,0.16667,0.04046,1,6,37.03704,0.0,1.0,23.61111,27.63891,16.26529,376.0433,-0.65882,723.87695,27
122001311102300303,47.95147,10.94991,0.16667,0.04046,1,6,37.03704,0.0,1.0,22.77778,25.0,2.61237,,1.24853,725.71893,27
122010022332121033,47.75199,11.83652,0.16667,0.04046,1,6,76.92308,0.0,1.0,13.51464,14.77778,3.88535,,-0.07408,780.4997,13
122001311111321020,47.88186,11.21733,0.15385,0.06218,2,13,20.40816,0.0,1.0,21.94446,23.84171,12.53347,273.36047,0.212,637.1144,98
122001311100332212,47.89718,10.96753,0.15385,0.06218,2,13,30.30303,0.0,1.0,21.38889,26.45833,19.52427,130.77681,-1.3251,699.42267,66
122001133310213020,47.51906,11.10811,0.15385,0.06218,2,13,11.97605,0.15385,0.84615,9.58334,18.36112,9.34547,292.8268,0.26846,682.2415,167
122010022220333212,47.72124,11.33049,0.15385,0.06218,2,13,17.69912,0.0,0.84615,21.94444,29.44444,7.83149,374.6655,-0.08755,632.504,113
122001133331221032,47.70698,11.17652,0.15385,0.06218,2,13,33.89831,0.0,1.0,18.05557,20.83334,12.30271,281.54706,0.81393,658.0662,59
122001133233322031,47.80517,10.85926,0.15385,0.06218,2,13,26.66667,0.0,1.0,16.38889,22.50002,14.52092,176.49489,0.28729,743.14777,75
122010022321310300,47.68748,11.76114,0.15385,0.06218,2,13,40.0,0.07692,0.92308,12.09429,14.06609,5.86821,,-0.72069,754.4208,50
122010200013301011,47.94541,11.5735,0.15385,0.06218,2,13,21.2766,0.0,0.61538,14.20998,20.45735,1.75238,,0.1656,699.1457,94
122010200011101111,47.81366,11.57832,0.14286,0.08442,4,28,18.69159,0.03571,0.92857,19.44444,26.66667,6.68774,488.56793,-2.6979,686.4679,214
122001133333011211,47.73098,11.20019,0.14286,0.08442,4,28,11.56069,0.14286,0.60714,10.00001,15.27779,20.52607,42.48087,-0.22562,666.14105,346
122001311101300313,47.8635,11.04051,0.14286,0.07444,3,21,15.54404,0.0,0.95238,15.27778,17.77778,26.35104,90.26432,-2.90966,699.7096,193
122010200001221021,47.88184,11.3505,0.14286,0.06035,2,14,12.34568,0.0,0.85714,12.77778,15.55557,3.40864,317.66095,1.50067,635.47485,162
122010200002111121,47.90344,11.33466,0.14286,0.03896,1,7,4.23729,0.28571,0.14286,7.1471,9.44444,14.51309,58.83242,-1.03491,640.8462,236
122010022233331330,47.80001,11.59982,0.14286,0.03896,1,7,47.61905,0.0,0.85714,23.88891,30.27778,19.98839,365.45319,-0.02522,729.37256,21
122010022233331331,47.7998,11.60091,0.14286,0.03896,1,7,25.64103,0.0,0.85714,23.05556,26.75,18.3106,260.67737,-0.07198,728.69104,39
122010022323123311,47.76352,11.75483,0.14286,0.03896,1,7,8.47458,0.0,0.42857,11.38889,15.83333,15.18158,113.95133,0.07224,745.3242,118
122010022221321311,47.70835,11.40275,0.14286,0.03896,1,7,14.49275,0.14286,0.28571,8.33333,11.375,14.80564,58.14391,-0.05977,633.0564,69
122001133313210002,47.59455,11.18498,0.14286,0.03896,1,7,14.70588,0.14286,0.85714,12.22223,15.55556,15.24415,46.25094,1.07093,671.5581,68
122010022220333322,47.724,11.33301,0.14286,0.03896,1,7,3.44828,0.14286,0.85714,11.25,14.98611,4.8016,269.63171,-0.47587,655.41266,290
122010200111012030,47.827,11.89104,0.14286,0.03896,1,7,18.51852,0.0,1.0,18.05556,23.06944,22.54959,157.1365,-3.29996,687.9854,54
122010200103313312,47.96327,11.77575,0.14286,0.03896,1,7,38.46154,0.14286,0.85714,18.88889,20.55556,4.57889,440.40187,0.10181,658.36633,26
122010200112101331,47.90948,11.84246,0.14286,0.03896,1,7,15.625,0.0,0.71429,11.94444,14.59722,4.66632,41.95572,-1.28097,588.8195,64
122001311012112212,47.9187,10.79202,0.14286,0.03896,1,7,10.75269,0.14286,0.71429,10.69445,14.16667,18.54981,80.71754,1.38369,741.45624,93
122010200012000211,47.90694,11.43036,0.13953,0.09606,6,43,7.00117,0.37209,0.39535,7.50001,11.92246,6.94627,79.37653,-0.02492,589.538,857
122010200011132330,47.8547,11.58842,0.13953,0.09606,6,43,10.16949,0.06977,0.62791,9.44445,12.77779,15.59734,59.25613,0.96795,722.0453,590
122010200103112211,47.91815,11.76026,0.13793,0.08269,4,29,5.14139,0.27586,0.68966,11.94444,16.11111,20.4849,87.21424,-2.69367,658.4622,778
122001133322203322,47.7897,10.91569,0.13333,0.05863,2,15,13.98601,0.0,1.0,15.27779,16.11112,2.15839,,-0.74376,732.2363,143
122010022202130113,47.57305,11.32622,0.13333,0.05863,2,15,22.22222,0.0,1.0,18.33333,21.11111,5.20542,308.37595,0.05328,817.5608,90
122010022321310313,47.68878,11.76528,0.13333,0.05863,2,15,13.15789,0.26667,0.66667,9.44445,12.22222,4.56915,180.48791,-1.04168,760.3833,152
122010200000032122,47.8503,11.27798,0.125,0.057,2,16,14.49275,0.0,1.0,19.27016,22.77778,19.76683,178.63869,1.37101,652.9204,138
122001133322113021,47.73942,10.97686,0.125,0.03757,1,8,17.54386,0.125,0.625,7.22223,10.20834,30.53057,20.7286,-8.39771,750.3066,57
122001311111321210,47.88446,11.22072,0.125,0.03757,1,8,8.62069,0.0,1.0,11.80556,14.09723,4.69753,107.75196,0.43783,627.9177,116
122010200012201223,47.95464,11.43842,0.125,0.03757,1,8,7.87402,0.125,0.875,15.00001,18.61111,4.75744,,-0.15631,700.467,127
122010200100222033,47.89392,11.60595,0.125,0.03757,1,8,7.19424,0.125,0.875,25.55556,30.66668,4.62851,,0.70336,752.70074,139
122010200101221033,47.8832,11.70524,0.125,0.03757,1,8,10.6383,0.0,0.875,13.61111,21.41667,3.12917,,0.75747,695.82465,94
122010200011011033,47.8175,11.55145,0.125,0.03757,1,8,12.04819,0.125,0.75,13.36116,18.33335,18.73801,89.153,3.20012,646.3777,83
122010022221321133,47.70754,11.40262,0.125,0.03757,1,8,8.62069,0.125,0.625,11.11111,13.61112,11.69445,75.70408,0.1534,648.35864,116
122001133133301121,47.4201,11.22461,0.125,0.03757,1,8,17.24138,0.0,1.0,13.8889,14.44446,2.25035,,0.85403,1029.2599,58
122001311011331013,47.88036,10.89194,0.125,0.03757,1,8,17.54386,0.0,0.875,20.00002,22.22222,6.26191,447.46388,-0.52257,746.68585,57
122010200101313231,47.87632,11.77122,0.125,0.03757,1,8,25.64103,0.125,0.875,19.72222,23.75,4.05161,,-0.11774,670.9695,39
122001311102301222,47.95466,10.95459,0.125,0.03757,1,8,19.60784,0.125,0.875,24.16667,32.76389,2.60301,,-0.22998,714.1741,51
122010200013211130,47.94792,11.55549,0.125,0.03757,1,8,16.39344,0.0,0.875,12.22222,17.5,3.96734,192.94266,2.08639,701.99133,61
122010200010101230,47.82157,11.48373,0.12121,0.07645,4,33,10.05025,0.12121,0.72727,13.15602,18.33333,18.70079,46.5005,0.33822,592.0758,398
122010200003101003,47.9026,11.39533,0.12,0.06782,3,25,7.57576,0.28,0.48,8.33333,15.27778,16.6242,53.59775,-2.33325,705.30273,396
122010200102110112,47.90247,11.67631,0.11765,0.05546,2,17,12.57862,0.0,1.0,15.83335,18.69445,1.98474,,-0.48502,700.8398,159
122010022233033131,47.76072,11.557,0.11765,0.05546,2,17,3.9604,0.47059,0.52941,6.5433,9.31945,13.2959,40.4525,-2.12995,665.2165,505
122001133320333112,47.71553,10.9842,0.11538,0.06635,3,26,16.85393,0.0,1.0,14.72223,17.62501,19.63645,67.91312,3.47197,808.9345,178
122010022200302222,47.5268,11.2945,0.11538,0.06635,3,26,13.33333,0.03846,0.96154,10.83334,13.33334,5.75999,126.09357,-0.30541,887.70593,225
122010200101011023,47.81752,11.72436,0.11111,0.06493,3,27,10.98901,0.03704,0.44444,11.38889,20.0,20.863,56.60273,-0.12272,782.8677,273
122010200111003123,47.82812,11.88359,0.11111,0.06493,3,27,14.63415,0.07407,0.66667,15.83335,23.52778,30.44466,100.88203,-1.036,659.0641,205
122010200003023001,47.93408,11.35104,0.11111,0.054,2,18,14.70588,0.0,1.0,21.38889,29.09722,9.6777,426.88354,0.29656,666.7582,136
122010200003022311,47.93974,11.34754,0.11111,0.054,2,18,15.74803,0.05556,0.94444,20.0,28.05556,8.07297,512.40547,1.2695,689.65735,127
122010200013103110,47.91204,11.578,0.11111,0.054,2,18,19.04762,0.05556,0.83333,20.41667,25.76389,6.92053,216.90066,-1.01258,732.0655,105
122001311101031123,47.8392,11.02665,0.11111,0.054,2,18,12.42236,0.0,0.94444,19.72222,23.05557,20.19591,208.93286,1.02865,787.9568,161
122010200002212031,47.95859,11.27677,0.11111,0.03627,1,9,29.41176,0.0,1.0,28.75001,31.05682,10.36876,586.64447,0.57122,673.61664,34
122001133313210200,47.59927,11.18461,0.11111,0.03627,1,9,25.64103,0.44444,0.44444,14.72222,18.88889,15.33651,95.67476,-0.52231,655.13403,39
122010022222120321,47.7556,11.30115,0.11111,0.03627,1,9,15.87302,0.0,0.88889,21.38889,25.65664,18.66693,199.67104,-0.46335,633.9516,63
122010022323331222,47.80083,11.76713,0.11111,0.03627,1,9,13.88889,0.0,1.0,18.8889,22.33333,11.43067,225.88618,2.43956,766.0696,72
122010022323331020,47.79408,11.7669,0.11111,0.03627,1,9,9.34579,0.11111,0.77778,15.83333,18.35064,7.84528,274.99838,-2.34313,772.0638,107
122010022223120020,47.74995,11.38248,0.11111,0.03627,1,9,5.98802,0.22222,0.55556,8.88889,12.77779,3.51114,107.7191,-0.54569,603.78156,167
122010200103011312,47.90792,11.73154,0.11111,0.03627,1,9,16.12903,0.0,1.0,21.38889,25.94338,14.12532,188.33334,-0.29297,661.4593,62
122010200011023200,47.85146,11.52533,0.11111,0.03627,1,9,14.92537,0.0,1.0,15.83333,18.05556,13.46249,162.5975,-0.53301,681.47455,67
122010022221321130,47.70622,11.40174,0.11111,0.03627,1,9,4.52489,0.22222,0.66667,10.83333,13.8889,11.97057,132.50594,-0.49302,627.47205,221
122010200110203311,47.87358,11.79888,0.11111,0.03627,1,9,13.51351,0.0,0.88889,22.36112,28.625,8.36379,55.74995,-0.33099,701.9904,74
122010022322310103,47.77078,11.67504,0.11111,0.03627,1,9,11.11111,0.11111,0.66667,12.5,14.72223,14.63033,136.99748,-0.24293,774.9658,90
122001311112202012,47.95721,11.07773,0.11111,0.03627,1,9,17.85714,0.0,0.77778,17.50001,32.22222,5.91968,56.2519,0.44272,639.10486,56
122010022233323022,47.80605,11.56925,0.11111,0.03627,1,9,7.57576,0.11111,0.33333,12.22223,18.15278,15.61022,67.3703,1.0614,719.7952,132
122010022233322303,47.80858,11.56529,0.11111,0.03627,1,9,26.31579,0.0,1.0,19.72224,29.58333,14.05533,381.45126,-3.33465,680.23145,38
122010200003110021,47.9036,11.40555,0.11111,0.03627,1,9,16.94915,0.0,0.66667,15.83333,21.66667,23.81773,105.46483,-4.50945,665.16296,59
122001311110122011,47.84658,11.12301,0.11111,0.03627,1,9,20.40816,0.0,0.88889,20.55556,25.22223,2.95865,,-0.20161,567.24866,49
122001133330332110,47.71398,11.14888,0.10526,0.05261,2,19,6.53595,0.15789,0.78947,9.44445,11.3889,24.79446,48.28418,-1.30975,650.948,306
122001311113103132,47.91559,11.22587,0.10526,0.05261,2,19,13.88889,0.10526,0.42105,15.41667,26.64022,15.43272,46.11514,-0.75362,765.5784,144
122010200101012113,47.82556,11.72201,0.10345,0.06228,3,29,14.28571,0.0,1.0,20.55556,26.11111,3.0709,513.31104,-0.35857,758.3628,210
122010022232000300,47.73048,11.43196,0.1,0.06753,4,40,14.44043,0.025,0.9,20.27779,22.22222,12.97363,381.78499,0.35133,594.09204,277
122010200103112302,47.91844,11.76184,0.1,0.06104,3,30,30.92784,0.0,0.93333,19.72224,23.08867,23.47175,194.9597,-1.76061,661.1098,97
122010022233323033,47.80622,11.57339,0.1,0.06104,3,30,11.23596,0.03333,0.73333,19.44444,23.44446,21.44019,198.24091,0.35349,709.74066,267
122001311101312010,47.86832,11.05572,0.1,0.0513,2,20,15.74803,0.0,1.0,23.88889,26.94445,4.77662,539.11407,0.18459,616.68823,127
122001133322202111,47.78077,10.90853,0.1,0.03506,1,10,8.54701,0.2,0.4,9.44445,14.16668,24.15472,60.12156,3.89595,743.4238,117
122001311111320133,47.88364,11.21631,0.1,0.03506,1,10,14.28571,0.0,0.9,16.94446,18.8889,21.24246,115.22855,-0.23284,636.1161,70
122001133310020133,47.48774,11.08452,0.1,0.03506,1,10,8.69565,0.1,0.8,10.66901,13.33334,5.69393,46.87188,-0.30413,703.9563,115
122010200013113032,47.91649,11.59338,0.1,0.03506,1,10,19.23077,0.1,0.9,14.16667,19.38889,11.74028,115.19208,-0.6711,750.6562,52
122010022332121220,47.75601,11.83326,0.1,0.03506,1,10,20.83333,0.0,0.9,16.25,18.61111,10.08689,190.29095,0.94971,781.1543,48
122001133333330010,47.79068,11.2309,0.1,0.03506,1,10,66.66667,0.0,1.0,22.22222,24.69444,6.0302,490.804,0.03493,662.4629,15
122010200011023211,47.85174,11.52943,0.1,0.03506,1,10,10.30928,0.0,0.9,13.88889,17.50001,36.23139,60.77986,-0.74952,702.8897,97
