morton_code,lat,lon,gem_score,demand_p90,demand_p50,flow_index,stop_rate,n_rides,n_corners,crowd_v_p50,crowd_v_p85,crowd_lean_p90,radius_p50,grade_mean,elev_mean,n_points
122010200333121220,48.4588,11.9209,56.3569,12.3896,4.9281,1.0,0.0,6,3,20.5556,23.1389,12.6826,342.3074,-1.0261,418.8371,39
122010022333132030,47.7605,11.9342,56.1885,13.1357,7.6986,1.0,0.0,5,4,20.0,21.3889,23.0889,222.7116,-0.0574,797.8146,15
122010200302032332,48.2953,11.6325,56.0828,11.3654,7.9867,1.0,0.0,7,4,16.6667,20.8334,10.2173,190.6805,-0.2325,475.7705,26
122010200021102033,48.0036,11.3867,55.9684,12.9376,4.8917,1.0,0.0,5,3,33.3333,37.5139,15.0952,465.8232,-1.6962,645.0019,14
122010200033203112,48.1333,11.5333,55.9406,10.5514,0.455,1.0,0.0,8,2,14.7222,17.9861,5.9106,288.7509,-0.5204,535.6037,76
122010200333120301,48.4562,11.9167,55.8373,11.922,6.0918,1.0,0.0,6,2,25.5556,32.1111,12.5244,606.1594,0.8594,431.5191,28
122010200022103231,48.0963,11.3097,55.8255,12.809,5.1655,1.0,0.0,5,1,37.3611,46.4584,7.1191,951.9789,-0.6397,572.3714,16
122010200022112320,48.0967,11.322,55.7795,11.87,3.1732,1.0,0.0,6,1,30.5556,40.0,5.7041,1052.0091,0.3099,595.6554,13
122001311132111230,48.0851,11.1546,55.7507,12.7418,5.7376,1.0,0.0,5,1,27.2222,33.4445,6.3369,176.0148,-0.8664,573.589,19
122010200021010221,47.9972,11.3625,55.7097,12.7048,2.5317,1.0,0.0,5,3,16.3889,20.5,12.5684,211.4304,0.2791,612.035,45
122010200211111312,48.1716,11.5998,55.6678,14.849,7.1908,0.8571,0.1429,7,6,7.67,19.2361,15.8203,168.5746,0.239,512.5423,106
122010200211131311,48.1928,11.6006,55.652,12.6529,6.0841,1.0,0.0,5,5,12.3611,15.5556,12.6563,127.2686,-0.4125,510.1114,26
122001133321122000,47.6705,11.0309,55.5458,20.6597,4.1325,0.6667,0.3333,6,4,11.6667,19.3056,15.293,36.5226,0.8948,857.619,121
122010200210301013,48.2102,11.4852,55.4735,18.5312,1.6939,0.7143,0.1429,7,4,11.6667,18.6111,21.3398,46.9289,-0.0421,508.1054,134
122001133330021203,47.6657,11.0873,55.063,11.2251,4.3794,1.0,0.0,6,1,22.2222,24.4722,6.7324,675.5733,0.2843,745.3574,27
122001133321031331,47.6675,11.03,54.9513,12.0223,4.5855,1.0,0.0,5,1,21.3889,22.5,5.1856,440.3313,-0.1909,849.1077,36
122010022333132111,47.7581,11.9415,54.9028,11.9786,2.5938,1.0,0.0,5,5,12.0201,15.0,15.2051,123.5588,1.1026,808.0003,41
122010200330220021,48.409,11.7795,54.8104,10.9978,1.0654,1.0,0.0,6,1,19.1667,20.6667,15.4336,103.5515,-0.0117,448.6653,45
122010022333132012,47.7601,11.9349,54.6228,11.7266,1.9882,1.0,0.0,5,3,21.3275,24.375,18.5493,228.7415,0.3122,797.6478,20
122001133321121330,47.6671,11.0499,54.5633,10.7754,3.0454,1.0,0.0,6,8,12.7778,14.1806,14.1636,142.6449,0.3227,826.5846,34
122010200211113001,48.1758,11.5926,54.5501,13.5314,1.2117,0.8,0.2,10,2,2.7778,17.7778,4.8955,93.5127,-0.4647,510.4648,197
122010200211130023,48.1909,11.582,54.3914,12.5322,3.2719,0.875,0.125,8,9,10.9894,15.0,17.4419,98.2192,-0.685,513.9272,89
122010200030323201,48.0712,11.4827,54.2466,27.588,4.6624,0.4,0.0,5,5,16.6667,38.8889,28.916,80.2096,-2.318,605.0628,51
122010200302203312,48.3145,11.6215,54.2055,10.4533,1.6198,1.0,0.0,6,3,35.5556,44.1667,12.4805,407.575,-1.5135,482.8196,16
